year,month,day,site,ipa,station,org_type,tax_group,species,species_count,mean_length_mm
2021,04,09,EDG,Armored,0,NA,NA,none,1,0
2021,04,09,EDG,Armored,1,NA,NA,none,1,0
2021,04,09,EDG,Armored,2,NA,NA,none,1,0
2021,04,09,EDG,Natural,0,Fish,Forage Fish,Sand Lance,1,93
2021,04,09,EDG,Natural,1,NA,NA,none,1,0
2021,04,09,EDG,Natural,2,NA,NA,none,1,0
2021,04,09,EDG,Restored,0,NA,NA,none,1,0
2021,04,09,EDG,Restored,1,Benthic Invertebrate,Decapod,Shore Crab,1,10
2021,04,09,EDG,Restored,2,NA,NA,none,1,0
2021,04,12,DOK,Armored,0,Pelagic invertebrate,Jellyfish,Ctenophore,31,0
2021,04,12,DOK,Armored,1,NA,NA,none,1,0
2021,04,12,DOK,Armored,2,Pelagic invertebrate,Jellyfish,Ctenophore,18,0
2021,04,12,DOK,Natural,0,Pelagic invertebrate,Jellyfish,Ctenophore,87,0
2021,04,12,DOK,Natural,1,NA,NA,none,1,0
2021,04,12,DOK,Natural,2,Pelagic invertebrate,Jellyfish,Ctenophore,30,0
2021,04,12,DOK,Restored,0,Fish,Forage Fish,Herring,2,140
2021,04,12,DOK,Restored,0,Fish,Forage Fish,Surf Smelt,3,134.66666666666666
2021,04,12,DOK,Restored,0,Fish,Salmon,UnID Salmon,1,227
2021,04,12,DOK,Restored,1,Pelagic invertebrate,Jellyfish,Ctenophore,3,0
2021,04,12,DOK,Restored,2,NA,NA,none,1,0
2021,04,13,COR,Armored,0,Benthic Invertebrate,Decapod,Crangonid Shrimp,1,11
2021,04,13,COR,Armored,0,Benthic Invertebrate,Decapod,Hippolyte Sp,1,0
2021,04,13,COR,Armored,0,Benthic Invertebrate,Decapod,Kelp Crab,1,1
2021,04,13,COR,Armored,0,Fish,Pholidae,Crescent Gunnel,1,100
2021,04,13,COR,Armored,0,Fish,Pholidae,Saddleback Gunnel,1,100
2021,04,13,COR,Armored,0,Fish,Stichaeid,Stickleback,1,45
2021,04,13,COR,Armored,1,Fish,Forage Fish,Herring,1,0
2021,04,13,COR,Armored,2,NA,NA,none,1,0
2021,04,13,COR,Natural,0,NA,NA,none,1,0
2021,04,13,COR,Natural,1,NA,NA,none,1,0
2021,04,13,COR,Natural,2,NA,NA,none,1,0
2021,04,13,COR,Restored,0,NA,NA,none,1,0
2021,04,13,COR,Restored,1,Pelagic invertebrate,Jellyfish,Ctenophore,5,0
2021,04,13,COR,Restored,2,Pelagic invertebrate,Jellyfish,Ctenophore,1,0
2021,04,15,SHR,Armored,0,NA,NA,none,1,0
2021,04,15,SHR,Armored,1,NA,NA,none,1,0
2021,04,15,SHR,Armored,2,NA,NA,none,1,0
2021,04,15,SHR,Natural,0,NA,NA,none,1,0
2021,04,15,SHR,Natural,1,NA,NA,none,1,0
2021,04,15,SHR,Natural,2,NA,NA,none,1,0
2021,04,15,SHR,Restored,0,Fish,Pholidae,Penpoint Gunnel,1,81
2021,04,15,SHR,Restored,1,NA,NA,none,1,0
2021,04,15,SHR,Restored,2,NA,NA,none,1,0
2021,04,27,FAM,Armored,0,Fish,Forage Fish,Herring,7,79.57142857142857
2021,04,27,FAM,Armored,0,Fish,Perch,Shiner Perch,3,64
2021,04,27,FAM,Armored,0,Fish,Salmon,Chinook,1,75
2021,04,27,FAM,Armored,1,Pelagic invertebrate,Jellyfish,Ctenophore,5,0
2021,04,27,FAM,Armored,2,Pelagic invertebrate,Jellyfish,Ctenophore,10,0
2021,04,27,FAM,Natural,0,Benthic Invertebrate,Decapod,Crangonid Shrimp,2,0
2021,04,27,FAM,Natural,0,Pelagic invertebrate,Jellyfish,Ctenophore,30,0
2021,04,27,FAM,Natural,1,Pelagic invertebrate,Jellyfish,Ctenophore,19,0
2021,04,27,FAM,Natural,2,Pelagic invertebrate,Jellyfish,Ctenophore,3,0
2021,04,27,FAM,Restored,0,NA,NA,none,1,0
2021,04,27,FAM,Restored,1,NA,NA,none,1,0
2021,04,27,FAM,Restored,2,NA,NA,none,1,0
2021,04,27,TUR,Natural,0,NA,NA,none,1,0
2021,04,27,TUR,Natural,1,Pelagic invertebrate,Jellyfish,Moon Jelly,15,0
2021,04,27,TUR,Natural,2,Pelagic invertebrate,Jellyfish,Ctenophore,1,0
2021,04,27,TUR,Natural,2,Pelagic invertebrate,Jellyfish,Moon Jelly,10,0
2021,04,28,TUR,Armored,0,Benthic Invertebrate,Decapod,Kelp Crab,1,60
2021,04,28,TUR,Armored,0,Fish,Flatfish,Sand Sole,2,55
2021,04,28,TUR,Armored,0,Fish,Flatfish,UnID Flatfish,1,52
2021,04,28,TUR,Armored,0,Fish,Gadidae,UnID Gadid,1,20
2021,04,28,TUR,Armored,0,Fish,Pholidae,Saddleback Gunnel,1,90
2021,04,28,TUR,Armored,0,Fish,Stichaeid,Stickleback,1,52
2021,04,28,TUR,Armored,0,Fish,Sygnathid,Pipefish,1,130
2021,04,28,TUR,Armored,1,Fish,Gadidae,UnID Gadid,6,25.666666666666668
2021,04,28,TUR,Armored,2,Pelagic invertebrate,Jellyfish,Moon Jelly,3,0
2021,04,28,TUR,Restored,0,Benthic Invertebrate,Decapod,Hippolyte Sp,1,0
2021,04,28,TUR,Restored,0,Fish,Gadidae,UnID Gadid,2,22
2021,04,28,TUR,Restored,1,Pelagic invertebrate,Jellyfish,Moon Jelly,1,0
2021,04,28,TUR,Restored,2,Pelagic invertebrate,Jellyfish,Moon Jelly,20,0
2021,05,05,FAM,Armored,0,Fish,Forage Fish,Herring,5,89.8
2021,05,05,FAM,Armored,0,Fish,Stichaeid,Stickleback,1,65
2021,05,05,FAM,Armored,1,Fish,Forage Fish,Herring,9,91.44444444444444
2021,05,05,FAM,Armored,2,Fish,Forage Fish,Herring,7,86.28571428571429
2021,05,05,FAM,Natural,0,Pelagic invertebrate,Jellyfish,Ctenophore,5,0
2021,05,05,FAM,Natural,1,Fish,Forage Fish,Herring,6,81.5
2021,05,05,FAM,Natural,2,Fish,Forage Fish,Herring,3,79
2021,05,05,FAM,Natural,2,Fish,Forage Fish,Surf Smelt,1,131
2021,05,05,FAM,Restored,0,Pelagic invertebrate,Jellyfish,Ctenophore,1,0
2021,05,05,FAM,Restored,1,Fish,Forage Fish,Herring,3,88
2021,05,05,FAM,Restored,2,Fish,Forage Fish,Herring,9,81.33333333333333
2021,05,05,TUR,Armored,0,Pelagic invertebrate,Jellyfish,Ctenophore,6,0
2021,05,05,TUR,Armored,1,Fish,Gadidae,UnID Gadid,1,25
2021,05,05,TUR,Armored,2,Pelagic invertebrate,Jellyfish,Ctenophore,1,0
2021,05,05,TUR,Armored,2,Pelagic invertebrate,Jellyfish,Moon Jelly,1,0
2021,05,05,TUR,Natural,0,Fish,Gadidae,UnID Gadid,15,28
2021,05,05,TUR,Natural,1,Pelagic invertebrate,Jellyfish,Ctenophore,1,0
2021,05,05,TUR,Natural,2,Pelagic invertebrate,Jellyfish,Fried Egg Jelly,1,0
2021,05,05,TUR,Natural,2,Pelagic invertebrate,Jellyfish,Moon Jelly,1,0
2021,05,05,TUR,Restored,0,Benthic Invertebrate,Decapod,Hippolyte Sp,2,0
2021,05,05,TUR,Restored,1,NA,NA,none,1,0
2021,05,05,TUR,Restored,2,Pelagic invertebrate,Jellyfish,Moon Jelly,7,0
2021,05,07,COR,Armored,0,Benthic Invertebrate,Decapod,Crangonid Shrimp,2,0
2021,05,07,COR,Armored,0,Fish,Forage Fish,Herring,1,80
2021,05,07,COR,Armored,0,Fish,Salmon,Chum,313,3.373801916932907
2021,05,07,COR,Armored,0,Fish,Stichaeid,Stickleback,2,65
2021,05,07,COR,Armored,0,Stichaeid,Stichaeid,Snake Prickleback,3,115
2021,05,07,COR,Armored,1,NA,NA,none,1,0
2021,05,07,COR,Armored,2,NA,NA,none,1,0
2021,05,07,COR,Natural,0,Fish,Pholidae,Crescent Gunnel,1,95
2021,05,07,COR,Natural,0,Fish,Stichaeid,Snake Prickleback,2,136
2021,05,07,COR,Natural,1,Fish,Salmon,Chum,24,43.041666666666664
2021,05,07,COR,Natural,2,Fish,Salmon,Chinook,4,77
2021,05,07,COR,Restored,0,Fish,Cottidae,UnID Sculpin,1,80
2021,05,07,COR,Restored,0,Fish,Perch,Pile Perch,1,160
2021,05,07,COR,Restored,0,Fish,Perch,Shiner Perch,68,23.294117647058822
2021,05,07,COR,Restored,0,Fish,Pholidae,Crescent Gunnel,1,125
2021,05,07,COR,Restored,0,Fish,Salmon,Chinook,1,85
2021,05,07,COR,Restored,0,Fish,Salmon,Coho,1,103
2021,05,07,COR,Restored,0,Fish,Sygnathid,Pipefish,1,130
2021,05,07,COR,Restored,1,NA,NA,none,1,0
2021,05,07,COR,Restored,2,Fish,Salmon,Chinook,3,77.66666666666667
2021,05,07,COR,Restored,2,Fish,Salmon,Chum,77,14.818181818181818
2021,05,11,EDG,Armored,0,NA,NA,none,1,0
2021,05,11,EDG,Armored,1,NA,NA,none,1,0
2021,05,11,EDG,Armored,2,Pelagic invertebrate,Jellyfish,Ctenophore,4,0
2021,05,11,EDG,Natural,0,Pelagic invertebrate,Jellyfish,Ctenophore,6,0
2021,05,11,EDG,Natural,1,Pelagic invertebrate,Jellyfish,Moon Jelly,2,0
2021,05,11,EDG,Natural,2,Pelagic invertebrate,Jellyfish,Moon Jelly,1,0
2021,05,11,EDG,Restored,0,Fish,Stichaeid,Stickleback,1,58
2021,05,11,EDG,Restored,0,Pelagic invertebrate,Jellyfish,Ctenophore,15,0
2021,05,11,EDG,Restored,0,Pelagic invertebrate,Jellyfish,Fried Egg Jelly,1,0
2021,05,11,EDG,Restored,0,Pelagic invertebrate,Jellyfish,Moon Jelly,2,0
